1,Barcode ,Type
903,8656014102289,Type1
904,8656014102326,Type1
905,8656014103675,Type1
906,8656014103736,Type1
907,8656014116170,Type1
908,8656020726523,Type1
909,8656020726738,Type1
910,8656020726752,Type1
911,8698980920405,Type1
912,8698980921327,Type1
913,8858908302854,Type1
914,8858908303684,Type1
915,8858908304834,Type1
916,8590014821767,Type1
917,8594057638931,Type1
918,8652000101038,Type1
919,8654000105825,Type1
920,4870144474717,Type2
921,8656021393380,Type2
922,8855301213268,Type2
923,4601501410068,Type2
924,8888192815013,Type2
925,8888192821083,Type2
926,4870144475905,Type2
927,8801056019952,Type2
928,8801056048334,Type2
929,8801056002107,Type2
930,8801056022242,Type2
931,8801056048358,Type2
932,8801037009774,Type2
933,8658000328918,Type2
934,4600721018573,Type2
935,4600721015565,Type2
936,4601501489484,Type2
937,4601501487480,Type2
938,9556404120277,Type2
939,8656020816095,Type2
940,8850228002971,Type2
941,8850228000151,Type2
942,8850228000267,Type2
943,46872100608,Type2
944,46872060315,Type2
945,46872060414,Type2
946,8935012413321,Type2
947,8935012413307,Type2
948,8935012423559,Type2
949,8935012423306,Type2
950,8850999112107,Type2
951,8855999014616,Type2
952,88544017623,Type2
953,8654001220046,Type2
954,4600721018245,Type2
955,4600682019015,Type2
956,4600682019022,Type2
957,4601501289299,Type2
958,4600721015374,Type2
959,4600682007456,Type2
960,4600682009450,Type2
961,4600682002185,Type2
962,4600682301455,Type2
963,4601501089899,Type2
964,4601501098891,Type2
965,4600682005001,Type2
966,4600721018818,Type2
967,8656017154179,Type2
968,8656017129177,Type2
969,54881001365,Type2
970,54881004817,Type2
971,54881005890,Type2
972,54881005906,Type2
973,4102430010607,Type2
974,220300000002,Type2
975,4102430072629,Type2
976,220300000004,Type2
977,5410228256939,Type2
978,220300000011,Type2
979,220300000020,Type2
980,54545454545,Type2
981,6901035607230,Type2
982,6901035601399,Type2
983,4860019001339,Type2
984,884394001917,Type2
985,884394002907,Type2
986,884394002921,Type2
987,4890008100309,Type2
988,4890008109302,Type2
989,4890008123308,Type2
990,4890008120307,Type2
991,4620001311231,Type2
992,4620001316908,Type2
993,9556404049035,Type2
994,5060166692483,Type2
995,9556404011032,Type2
996,2000000259192,Type2
997,46494139,Type2
998,9556404001033,Type2
999,9556404120277,Type2
1000,884394003188,Type2
1001,4890008402366,Type2
1002,4890008411306,Type2
1003,4890008402304,Type2
1004,4601501189148,Type2
1005,4890008110308,Type2
1006,8656020816583,Type2
1007,8656020816774,Type2
1008,6901035105514,Type2
1009,4601501429626,Type2
1010,4627124480059,Type2
1011,4630065250032,Type2
1012,4630065250360,Type2
1013,4630065251091,Type2
1014,8806011010067,Type2
1015,5900552041429,Type2
1016,5900552021865,Type2
1017,8850228002971,Type2
1018,8850228000267,Type2
1019,8850228000151,Type2
1020,884394001337,Type2
1021,5060335635365,Type2
1022,4600682000280,Type2
1023,4600682003106,Type2
1024,4600682007470,Type2
1025,4600682483472,Type2
1026,4600682557333,Type2
1027,4600682557456,Type2
1028,4600682557500,Type2
1029,4600682668473,Type2
1030,4902179010001,Type2
1031,4902179016317,Type2
1032,4902179016324,Type2
1033,8690582102401,Type2
1034,8690582132408,Type2
1035,9002490100490,Type2
1036,9002490207243,Type2
1037,9556404007035,Type2
1038,8656020986323,Type2
1039,3258561211725,Type2
1040,8809479110089,Type2
1041,4627124480134,Type2
1042,4627166780674,Type2
1043,8809432081098,Type2
1044,4630065250827,Type2
1045,4630065251039,Type2
1046,4640033503862,Type2
1047,8809432080046,Type2
1048,25616107202,Type2
1049,4890008110360,Type2
1050,9062300134572,Type3
1051,7322541117065,Type3
1052,7322541116914,Type3
1053,7322541197562,Type3
1054,7322541116822,Type3
1055,7322541116648,Type3
1056,7322541197692,Type3
1057,7322540694635,Type3
1058,7322540789386,Type3
1059,7322540789379,Type3
1060,7322540731408,Type3
1061,7322541083797,Type3
1062,7322541083674,Type3
1063,7322541083551,Type3
1064,7322541083414,Type3
1065,7322541083346,Type3
1066,7322541083186,Type3
1067,7322541083117,Type3
1068,7322540731477,Type3
1069,4015400435846,Type3
1070,4015400125037,Type3
1071,4015400125099,Type3
1072,4015400481836,Type3
1073,4015400198277,Type3
1074,8001090585592,Type3
1075,4015400481898,Type3
1076,4015400240310,Type3
1077,8001090603845,Type3
1078,8001841479187,Type3
1079,8001841479262,Type3
1080,8001090586278,Type3
1081,8001090586315,Type3
1082,8001841479224,Type3
